id,formula,tc,origin,severity,n_flags,reasons
Y1Ba2Cu2.94Ni0.06O6.47-MP-mp-20897.cif,Y1Ba2Cu2.94Ni0.06O6.47,23.0,new,1,1,A:trace-dopant(Ni 0.0048)
Y1Ba2Cu2.95Zn0.05O6.52-MP-mp-1228425.cif,Y1Ba2Cu2.95Zn0.05O6.52,23.0,new,1,1,A:trace-dopant(Zn 0.0040)
La0.8Y0.2Fe0.992Mn0.008As1F0.11O0.89-MP-mp-1223197.cif,La0.8Y0.2Fe0.992Mn0.008As1F0.11O0.89,22.7,new,1,1,A:trace-dopant(Mn 0.0020)
Y1Ba2Cu2.94Zn0.06O6.68-MP-mp-1228425.cif,Y1Ba2Cu2.94Zn0.06O6.68,22.5,new,1,1,A:trace-dopant(Zn 0.0047)
Y1Ba2Cu3O6.44-MP-mp-20897.cif,Y1Ba2Cu3O6.44,22.5,new,1,1,E:literature-IQR-22.5K(n=2)
La1.85Sr0.15Cu0.982Ni0.018O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.982Ni0.018O4,22.5,new,1,1,A:trace-dopant(Ni 0.0026)
La1.885Sr0.115Cu0.9975Zn0.0025O4-MP-mp-1077929.cif,La1.885Sr0.115Cu0.9975Zn0.0025O4,22.46,new,1,1,A:trace-dopant(Zn 0.0004)
La1.83Sr0.17Cu0.98Ni0.02O4-MP-mp-1077929.cif,La1.83Sr0.17Cu0.98Ni0.02O4,22.45,new,1,1,A:trace-dopant(Ni 0.0029)
Pr1.85Ce0.15Cu0.98V0.02O3.98-MP-mp-4181.cif,Pr1.85Ce0.15Cu0.98V0.02O3.98,22.3,new,1,1,A:trace-dopant(V 0.0029)
Nd1.85Ce0.15Cu0.995Mn0.005O4-MP-mp-4158.cif,Nd1.85Ce0.15Cu0.995Mn0.005O4,22.1,new,1,1,A:trace-dopant(Mn 0.0007)
La1.79Sr0.21Cu0.99Ru0.01O4-MP-mp-1077929.cif,La1.79Sr0.21Cu0.99Ru0.01O4,22.1,new,1,1,A:trace-dopant(Ru 0.0014)
Co0.004Fe1.996K0.8Se2-MP-mp-1070735-synth_doped.cif,Co0.004Fe1.996K0.8Se2,22.0,V45,1,1,A:trace-dopant(Co 0.0008)
Pr1.85Ce0.15Cu0.99V0.01O3.98-MP-mp-4181.cif,Pr1.85Ce0.15Cu0.99V0.01O3.98,22.0,new,1,1,A:trace-dopant(V 0.0014)
Sr0.2La1.8Cu0.99Cr0.01O4-MP-mp-1077929.cif,Sr0.2La1.8Cu0.99Cr0.01O4,22.0,new,1,1,A:trace-dopant(Cr 0.0014)
La1.85Sr0.15Cu0.984Zn0.016O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.984Zn0.016O4,21.95,new,1,1,A:trace-dopant(Zn 0.0023)
Pr1.85Ce0.15Cu0.97V0.03O3.98-MP-mp-4181.cif,Pr1.85Ce0.15Cu0.97V0.03O3.98,21.2,new,1,1,A:trace-dopant(V 0.0043)
Nd1.85Ce0.15Cu0.98Mn0.02O4-MP-mp-4158.cif,Nd1.85Ce0.15Cu0.98Mn0.02O4,21.1,new,1,1,A:trace-dopant(Mn 0.0029)
La1.775Sr0.225Cu0.995Ni0.005O4-MP-mp-1077929.cif,La1.775Sr0.225Cu0.995Ni0.005O4,21.0,new,1,1,A:trace-dopant(Ni 0.0007)
Ba1Fe1.889Co0.102Cu0.009As2-MP-mp-2903350.cif,Ba1Fe1.889Co0.102Cu0.009As2,20.95,new,1,1,A:trace-dopant(Cu 0.0018)
Al0.75Ge0.25Nb0.003-MP-mp-1183195.cif,Al0.75Ge0.25Nb0.003,20.7,new,1,1,A:trace-dopant(Nb 0.0030)
La1.85Sr0.15Cu0.99Ru0.01O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.99Ru0.01O4,20.5,new,1,1,A:trace-dopant(Ru 0.0014)
Y2Ba4Cu7O14.03-MP-mp-1228264.cif,Y2Ba4Cu7O14.03,20.15,new,1,1,E:literature-IQR-15.8K(n=2)
Cr0.004Fe1.996K0.8Se2-MP-mp-1070735-synth_doped.cif,Cr0.004Fe1.996K0.8Se2,20.0,V45,1,1,A:trace-dopant(Cr 0.0008)
Ba1Fe1.87Zn0.02Co0.11As2-MP-mp-2903350.cif,Ba1Fe1.87Zn0.02Co0.11As2,20.0,new,1,1,A:trace-dopant(Zn 0.0040)
Nd1.8315Y0.0185Ce0.15Cu1O4-MP-mp-4158.cif,Nd1.8315Y0.0185Ce0.15Cu1O4,20.0,new,1,1,A:trace-dopant(Y 0.0026)
La1.79Sr0.21Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.79Sr0.21Cu0.99Zn0.01O4,20.0,new,1,1,A:trace-dopant(Zn 0.0014)
La1.805Sr0.195Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.805Sr0.195Cu0.99Zn0.01O4,20.0,new,1,1,A:trace-dopant(Zn 0.0014)
La1.79Sr0.21Cu0.995Zn0.005O4-MP-mp-1077929.cif,La1.79Sr0.21Cu0.995Zn0.005O4,20.0,new,1,1,A:trace-dopant(Zn 0.0007)
La1.8Sr0.2Cu0.983Zn0.017O4-MP-mp-1077929.cif,La1.8Sr0.2Cu0.983Zn0.017O4,19.8,new,1,1,A:trace-dopant(Zn 0.0024)
Nd1.85Ce0.15Cu0.998Fe0.002O4-MP-mp-4158.cif,Nd1.85Ce0.15Cu0.998Fe0.002O4,19.5,new,1,1,A:trace-dopant(Fe 0.0003)
La1.85Sr0.15Cu0.983Zn0.017O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.983Zn0.017O4,19.4,new,1,1,A:trace-dopant(Zn 0.0024)
La1.78Sr0.22Cu0.9975Zn0.0025O4-MP-mp-1077929.cif,La1.78Sr0.22Cu0.9975Zn0.0025O4,19.25,new,1,1,A:trace-dopant(Zn 0.0004)
La2Cu0.98Zn0.02O4.099-MP-icsd-41494.cif,La2Cu0.98Zn0.02O4.099,19.2,new,1,1,A:trace-dopant(Zn 0.0028)
La1Fe0.99975Mn0.00025As1F0.11O0.89-MP-mp-1281007.cif,La1Fe0.99975Mn0.00025As1F0.11O0.89,19.075,new,1,1,A:trace-dopant(Mn 0.0001)
Al0.991Ge0.009Nb3-MP-mp-796-synth_doped.cif,Al0.991Ge0.009Nb3,19.0,V45,1,1,A:trace-dopant(Ge 0.0022)
La1.842Ba0.158Cu0.99Ni0.01O4-MP-mp-1077929.cif,La1.842Ba0.158Cu0.99Ni0.01O4,19.0,new,1,1,A:trace-dopant(Ni 0.0014)
La1.81Sr0.19Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.81Sr0.19Cu0.99Zn0.01O4,19.0,new,1,1,A:trace-dopant(Zn 0.0014)
Y1Ba2Cu2.94Zn0.06O6.65-MP-mp-1228425.cif,Y1Ba2Cu2.94Zn0.06O6.65,18.9,new,1,1,A:trace-dopant(Zn 0.0047)
La1.87Sr0.13Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.87Sr0.13Cu0.99Zn0.01O4,18.83,new,1,1,A:trace-dopant(Zn 0.0014)
Al0.983Ga0.017Nb3-MP-mp-796-synth_doped.cif,Al0.983Ga0.017Nb3,18.8,V45,1,1,A:trace-dopant(Ga 0.0043)
Y1Ba2Cu2.94Zn0.06O6.59-MP-mp-1228425.cif,Y1Ba2Cu2.94Zn0.06O6.59,18.75,new,1,1,A:trace-dopant(Zn 0.0048)
Nb75Ga7.5Al17.5-MP-mp-1220742.cif,Nb75Ga7.5Al17.5,18.700000000000003,new,1,1,"A:huge-coefficient(max 75, 100 atoms)"
Al0.985Nb3Si0.015-MP-mp-796-synth_doped.cif,Al0.985Nb3Si0.015,18.6,V45,1,1,A:trace-dopant(Si 0.0037)
La0.95Y0.05Fe0.995Mn0.005As1F0.11O0.89-MP-mp-1281007.cif,La0.95Y0.05Fe0.995Mn0.005As1F0.11O0.89,18.6,new,1,1,A:trace-dopant(Mn 0.0013)
La1.85Sr0.15Cu0.9875Co0.0125O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.9875Co0.0125O4,18.6,new,1,1,A:trace-dopant(Co 0.0018)
Nb75Ga15Al10-MP-mp-75.cif,Nb75Ga15Al10,18.55,new,1,1,"A:huge-coefficient(max 75, 100 atoms)"
Nd1.85Ce0.15Cu0.999Ni0.001O4-MP-mp-4158.cif,Nd1.85Ce0.15Cu0.999Ni0.001O4,18.525,new,1,1,A:trace-dopant(Ni 0.0001)
Gd0.02Pr1.83Ce0.15Cu1O4-MP-mp-4181.cif,Gd0.02Pr1.83Ce0.15Cu1O4,18.5,new,1,1,A:trace-dopant(Gd 0.0029)
La1.822Ba0.178Cu0.99Ni0.01O4-MP-mp-1077929.cif,La1.822Ba0.178Cu0.99Ni0.01O4,18.2,new,1,1,A:trace-dopant(Ni 0.0014)
