id,formula,tc,origin,cls,n_nbr,nbr_median,nbr_min,nbr_max,nearest,nearest_tc,nearest_dist,chemsys
La1.83Sr0.17Cu0.99Ni0.01O4-MP-mp-1077929.cif,La1.83Sr0.17Cu0.99Ni0.01O4,30.1,new,mid-outlier,59,0.0,0.0,33.0,La1.835Sr0.165Cu0.995Ni0.005O4,33.0,0.003,Cu-La-Ni-O-Sr
Dy1Ba1Sr1Cu3O6.7-MP-mp-622105.cif,Dy1Ba1Sr1Cu3O6.7,29.9,new,mid-outlier,5,14.8,0.0,82.25,Dy1Ba1Sr1Cu3O6.6,14.85,0.007,Ba-Cu-Dy-O-Sr
La1.85Sr0.15Cu0.995Ga0.005O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.995Ga0.005O4,29.8,new,mid-outlier,6,0.6,0.0,26.9,La1.85Sr0.15Cu0.985Ga0.015O4,13.7,0.003,Cu-Ga-La-O-Sr
Ba0.095Cu1La1.905O4-MP-mp-1077929-synth_doped.cif,Ba0.095Cu1La1.905O4,29.0,V45,mid-outlier,40,13.1,0.0,33.1,Ba0.094Cu1La1.906O4,32.0,0.0,Ba-Cu-La-O
Ba0.102Cu1La1.898O4-MP-mp-1077929-synth_doped.cif,Ba0.102Cu1La1.898O4,29.0,V45,mid-outlier,40,13.1,0.0,33.1,Ba0.103Cu1La1.897O4,14.5,0.0,Ba-Cu-La-O
Y1Ba2Cu2.9Ni0.1O6.71-MP-mp-1228425.cif,Y1Ba2Cu2.9Ni0.1O6.71,29.0,new,mid-outlier,32,64.8,0.0,90.5,Y1.01Ba2.01Cu2.906Ni0.094O6.7,71.0,0.003,Ba-Cu-Ni-O-Y
Sm1Ba2Cu2.9Zn0.1O6.83-MP-mp-21451.cif,Sm1Ba2Cu2.9Zn0.1O6.83,29.0,new,mid-outlier,5,59.0,0.0,81.0,Sm1Ba2Cu2.92Zn0.08O6.85,49.0,0.004,Ba-Cu-O-Sm-Zn
Sr0.2La1.8Cu0.99Zn0.01O4-MP-mp-1077929.cif,Sr0.2La1.8Cu0.99Zn0.01O4,29.0,new,mid-outlier,58,14.1,0.0,34.8,La1.8Sr0.2Cu0.9883Zn0.0117O4,23.6,0.0,Cu-La-O-Sr-Zn
Y1Sr2Cu2.65Mo0.35O7.2-MP-mp-1079351.cif,Y1Sr2Cu2.65Mo0.35O7.2,29.0,new,mid-outlier,5,65.0,33.0,78.0,Y1Sr2Cu2.65Mo0.35O7.4,43.0,0.014,Cu-Mo-O-Sr-Y
Sm1Ba2Cu3O6.554-MP-mp-21451.cif,Sm1Ba2Cu3O6.554,28.75,new,mid-outlier,15,59.8,0.0,91.1,Sm1Ba2Cu3O6.53,0.0,0.002,Ba-Cu-O-Sm
