id,tc_38,std_38,tc_49,std_49,tc_51,std_51,tc_mean,tc_min,tc_max,formula,e_above_hull,band_gap,is_metal,theoretical,nsites,spacegroup,crystal_system,is_magnetic,magnetization,density,known_parent,chem,supercon_tc_exact,supercon_tc_family,supercon
mp-21469,0.554,0.453,0.352,0.34,0.09,0.068,0.332,0.09,0.554,VCo2Sn,0.0542419087499999,0.0,True,False,4.0,Fm-3m,Cubic,True,2.9955833,8.760355356690765,False,other,,,none
mp-621619,0.381,0.089,0.488,0.166,0.127,0.107,0.332,0.127,0.488,Gd3(CuGe)4,0.0,0.0,True,False,11.0,Immm,Orthorhombic,False,7.03275,8.613307178981547,False,other,,,none
mp-977428,0.432,0.247,0.116,0.183,0.448,0.491,0.332,0.116,0.448,YbAl2Cu,0.0018038173611127917,0.0,True,False,12.0,R-3m,Trigonal,False,2e-07,7.00140314801133,False,other,,,none
mp-1190455,0.4,0.443,0.268,0.116,0.328,0.417,0.332,0.268,0.4,CsGd2Ag3Te5,0.0,0.6225999999999998,False,False,22.0,Cmcm,Orthorhombic,True,28.0000006,6.633751365637281,False,other,,,none
mp-1047660,0.093,0.112,0.552,0.521,0.351,0.581,0.332,0.093,0.552,Mn2ZnO4,0.1538626564285721,0.0,True,True,14.0,Cmcm,Orthorhombic,True,16.0002806,5.5105850587569085,False,other,,,none
mp-1105845,0.204,0.326,0.792,0.43,0.0,0.0,0.332,0.0,0.792,LuCuS2,0.011935086874988343,1.7630999999999997,False,False,16.0,P2_12_12_1,Orthorhombic,False,0.0024704,6.259140343386725,False,other,,,none
mp-1219329,0.44,0.344,0.484,0.213,0.072,0.11,0.33199999999999996,0.072,0.484,SmMnGe,0.12286336902299144,0.0,True,True,12.0,Pnma,Orthorhombic,True,12.9840816,7.539772236965531,False,other,,,none
mp-572,0.778,0.464,0.058,0.086,0.159,0.262,0.3316666666666667,0.058,0.778,SmCd,0.0,0.0,True,False,2.0,Pm-3m,Cubic,False,0.4323072,7.956464404373577,False,other,,,none
mp-1187269,0.877,0.113,0.057,0.08,0.061,0.067,0.3316666666666667,0.057,0.877,Tb2TlHg,0.0,0.0,True,True,4.0,Fm-3m,Cubic,False,0.7711653,11.450329656264588,False,other,,,none
mp-626631,0.479,0.092,0.368,0.367,0.148,0.128,0.33166666666666667,0.148,0.479,Al(HO)3,0.08832024053571441,3.8335999999999997,False,True,56.0,P2_1,Monoclinic,False,0.0002322,2.4125304381259,False,other,,,none
mp-1191987,0.0,0.0,0.279,0.228,0.716,1.091,0.33166666666666667,0.0,0.716,DyFeB4,0.0,0.0,True,False,24.0,Pbam,Orthorhombic,True,5.8327665,7.5825275265606615,False,other,,,none
mp-1102963,0.164,0.272,0.814,0.75,0.017,0.024,0.33166666666666667,0.017,0.814,VO2,0.04295680666665369,0.0,True,False,12.0,P2_1/c,Monoclinic,True,3.9999592,4.465187987652505,False,other,,2.4,family
mp-1228861,0.622,0.626,0.222,0.182,0.151,0.248,0.33166666666666667,0.151,0.622,AlNi6Pd,0.0795937321874991,0.0,True,True,8.0,P4/mmm,Tetragonal,True,1.893491,8.632502155398017,False,other,,,none
mp-30883,0.279,0.2,0.132,0.148,0.584,0.039,0.33166666666666667,0.132,0.584,V4Zn5,0.0,0.0,True,False,9.0,I4/mmm,Tetragonal,False,0.0002091,7.185875717527383,False,other,,,none
mp-1043279,0.083,0.128,0.152,0.248,0.76,0.285,0.33166666666666667,0.083,0.76,ZnCo2O5,0.2223969488157893,0.0,True,True,16.0,Cmcm,Orthorhombic,True,12.0017975,4.4980142598933295,False,other,,,none
mp-7476,0.169,0.181,0.181,0.227,0.645,0.728,0.33166666666666667,0.169,0.645,RbDyO2,0.0,3.6020000000000003,False,False,4.0,R-3m,Trigonal,False,0.0,6.820083067352032,False,other,,,none
mp-556815,0.225,0.227,0.418,0.492,0.352,0.695,0.33166666666666667,0.225,0.418,ZnS,0.00096258714285824,2.0421000000000005,False,False,28.0,P3m1,Trigonal,False,0.0,4.1382284869129435,False,other,,,none
mp-1205623,0.052,0.077,0.129,0.094,0.814,0.793,0.3316666666666666,0.052,0.814,Ba2LaPaO6,0.0,3.3736,False,True,10.0,Fm-3m,Cubic,False,0.0001953,6.5333395301497035,False,other,,,none
